[2023-12-03 20:50:57,383] INFO [Controller id=0 epoch=21] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2023-12-03 20:50:57,411] INFO [Controller id=0 epoch=21] Sending LeaderAndIsr request to broker 0 with 61 become-leader and 0 become-follower partitions (state.change.logger)
[2023-12-03 20:50:57,416] INFO [Controller id=0 epoch=21] Sending UpdateMetadata request to brokers HashSet(0) for 61 partitions (state.change.logger)
[2023-12-03 20:50:57,562] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 61 partitions (state.change.logger)
[2023-12-03 20:50:57,582] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 21 as part of the become-leader transition for 61 partitions (state.change.logger)
[2023-12-03 20:50:57,587] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(g1OBTCO2QaC34aluQKWuhw) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-03 20:50:57,590] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(g1OBTCO2QaC34aluQKWuhw) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-03 20:50:57,590] INFO [Broker id=0] Leader SockSalesTopic-0 with topic id Some(o43p_hKHQ8WV27erkw6nsg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-03 20:50:57,595] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(g1OBTCO2QaC34aluQKWuhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-03 20:50:57,598] INFO [Broker id=0] Leader ResultsTopicPurchase-0 with topic id Some(mxl4bQsTQf2RjC-K0BNLSg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-03 20:50:57,601] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(g1OBTCO2QaC34aluQKWuhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-03 20:50:57,603] INFO [Broker id=0] Leader ResultsTopicSale-0 with topic id Some(eG73bXNURTal0dRmIsvCeA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-03 20:50:57,605] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(g1OBTCO2QaC34aluQKWuhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-03 20:50:57,607] INFO [Broker id=0] Leader DBInfoTopic-0 with topic id Some(9ehe2nwtRv2xSfwCmt1flg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-03 20:50:57,611] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(g1OBTCO2QaC34aluQKWuhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-03 20:50:57,619] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(g1OBTCO2QaC34aluQKWuhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-03 20:50:57,623] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(g1OBTCO2QaC34aluQKWuhw) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-03 20:50:57,624] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(g1OBTCO2QaC34aluQKWuhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-03 20:50:57,631] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(g1OBTCO2QaC34aluQKWuhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-03 20:50:57,634] INFO [Broker id=0] Leader __consumer_offsets-26 with topic id Some(g1OBTCO2QaC34aluQKWuhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-03 20:50:57,648] INFO [Broker id=0] Leader RestultsTopics-0 with topic id Some(6pTL9GugT0OgIhY5awGFBg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-03 20:50:57,658] INFO [Broker id=0] Leader __consumer_offsets-49 with topic id Some(g1OBTCO2QaC34aluQKWuhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-03 20:50:57,669] INFO [Broker id=0] Leader RestultsTopic-0 with topic id Some(t-X2bwTsS1eQ3L0yqkEVbw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-03 20:50:57,674] INFO [Broker id=0] Leader __consumer_offsets-39 with topic id Some(g1OBTCO2QaC34aluQKWuhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-03 20:50:57,683] INFO [Broker id=0] Leader __consumer_offsets-9 with topic id Some(g1OBTCO2QaC34aluQKWuhw) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-03 20:50:57,685] INFO [Broker id=0] Leader __consumer_offsets-24 with topic id Some(g1OBTCO2QaC34aluQKWuhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-03 20:50:57,689] INFO [Broker id=0] Leader __consumer_offsets-31 with topic id Some(g1OBTCO2QaC34aluQKWuhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-03 20:50:57,693] INFO [Broker id=0] Leader __consumer_offsets-46 with topic id Some(g1OBTCO2QaC34aluQKWuhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
